,famme ,flame x2,Wasser0,Wasser1,Volt,waterpump,Fan_speed,Fuelpump/10,GLOW
1,"0,74","0,37","5,7","5,7","13,9",50,70,0,0
2,"0,74","0,37","6,7","5,7","14,0",50,70,0,0
3,"0,74","0,37","6,2","6,2","13,9",50,70,0,0
4,"0,74","0,37","6,2","6,2","13,9",50,70,0,0
5,"0,74","0,37","6,2","2,5","13,9",50,70,0,0
6,"0,74","0,37","6,2","6,2","13,9",50,70,0,0
7,"0,74","0,37","6,2","6,2","13,9",50,70,0,0
8,"0,74","0,37","6,2","6,2","14,0",50,70,0,0
9,"0,74","0,37","6,2","6,7","13,9",50,70,0,0
10,"0,74","0,37","6,2","6,7","14,0",50,70,0,0
11,"0,74","0,37","6,2","6,7","13,9",50,70,0,0
12,"0,74","0,37","6,2","6,7","13,9",50,70,0,0
13,"0,74","0,37","7,2","6,7","13,9",50,70,0,0
14,"0,74","0,37","7,2","7,2","13,8",50,70,0,0
15,"0,74","0,37","7,2","7,2","13,9",50,70,0,0
16,"0,74","0,37","7,2","7,2","14,0",50,70,0,0
17,"0,07","0,04","7,2","7,2","14,1",50,70,0,0
18,"0,74","0,37","7,2","7,2","13,9",50,70,0,0
19,"0,74","0,37","7,2","7,7","13,9",50,70,0,0
20,"0,74","0,37","7,2","7,2","13,9",50,70,0,0
21,"0,74","0,37","7,2","7,7","13,9",50,70,0,0
22,"0,74","0,37","8,6","7,7","13,8",50,70,0,0
23,"0,74","0,37","8,6","8,1","14,0",50,70,0,0
24,"0,74","0,37","7,7","8,1","14,2",50,70,0,0
25,"0,74","0,37","8,6","7,7","13,9",50,70,0,0
26,"0,74","0,37","8,1","8,6","14,0",50,70,0,0
27,"0,74","0,37","7,7","8,1","14,1",50,70,0,0
28,"0,74","0,37","7,7","8,1","14,0",50,70,0,0
29,"0,74","0,37","8,6","8,6","13,9",50,70,0,0
30,"0,74","0,37","7,7","7,7","14,0",50,70,0,0
31,"0,74","0,37","8,6","8,6","14,0",50,70,0,0
32,"0,74","0,37","8,6","8,6","14,0",50,70,0,0
33,"0,74","0,37","8,6","7,7","13,9",50,70,0,0
34,"0,74","0,37","9,0","9,0","14,0",50,70,0,0
35,"0,74","0,37","9,0","9,0","14,1",50,70,0,0
36,"0,74","0,37","9,0","9,0","14,0",50,70,0,0
37,"0,74","0,37","9,0","9,0","14,0",50,70,0,0
38,"1,76","0,88","9,0","9,4","14,0",50,70,0,0
39,"0,74","0,37","11,1","6,7","13,8",50,70,0,0
40,"1,76","0,88","9,0","9,0","14,1",50,70,0,0
41,"0,74","0,37","11,1","8,6","14,0",50,70,0,0
42,"1,76","0,88","9,4","9,0","14,0",50,70,0,0
43,"0,74","0,37","8,6","9,9","14,0",50,70,0,0
44,"0,74","0,37","9,4","9,9","14,1",50,70,0,0
45,"0,74","0,37","9,4","9,0","14,0",50,70,0,0
46,"2,79","1,40","9,9","9,9","14,0",50,70,0,0
47,"0,74","0,37","9,4","9,9","14,0",50,70,0,0
48,"0,74","0,37","9,9","10,3","14,1",50,70,0,0
49,"1,76","0,88","9,9","9,9","13,9",50,70,0,0
50,"0,74","0,37","11,9","10,7","14,1",50,70,0,0
51,"1,76","0,88","11,1","10,7","14,0",50,70,0,0
52,"1,76","0,88","9,9","9,9","13,9",50,70,0,0
53,"0,74","0,37","10,3","11,1","14,0",50,70,0,0
54,"0,74","0,37","10,7","10,7","14,0",50,70,0,0
55,"1,76","0,88","10,7","9,4","14,0",50,70,0,0
56,"1,76","0,88","10,7","10,3","14,1",50,70,0,0
57,"1,76","0,88","10,7","10,7","14,0",50,70,0,0
58,"1,76","0,88","11,1","11,9","13,9",50,70,0,0
59,"1,76","0,88","11,9","11,5","14,0",50,70,0,0
60,"1,76","0,88","11,1","10,7","13,9",50,70,0,0
61,"1,76","0,88","10,3","10,7","14,0",50,70,0,0
62,"1,76","0,88","11,1","10,7","14,0",50,70,0,0
63,"1,76","0,88","11,5","10,7","13,9",50,70,0,0
64,"1,76","0,88","11,5","10,7","13,9",50,70,0,0
65,"1,76","0,88","11,1","11,9","13,9",50,70,0,0
66,"1,76","0,88","11,5","11,5","13,9",50,70,0,0
67,"2,79","1,40","11,5","11,5","14,0",50,70,0,0
68,"2,79","1,40","11,9","12,2","14,1",50,70,0,0
69,"2,79","1,40","11,1","11,1","14,1",50,70,0,0
70,"2,79","1,40","11,9","11,5","14,0",50,70,0,0
71,"1,76","0,88","11,1","13,4","14,0",50,70,0,0
72,"1,76","0,88","13,0","11,9","13,9",50,70,0,0
73,"1,76","0,88","11,1","11,9","14,1",50,70,0,0
74,"2,79","1,40","11,9","11,9","13,9",50,70,0,0
75,"2,79","1,40","12,2","12,2","14,1",50,70,0,0
76,"2,79","1,40","11,9","11,9","13,9",50,70,0,0
77,"2,79","1,40","12,2","12,2","14,1",50,70,0,0
78,"2,79","1,40","11,9","12,6","13,9",50,70,0,0
